X,Y,Z,T0,t0
5.413207962681168283e+03,8.532684785202561670e+02,2.459620652901422233e-01,6.432680542555893226e+03,9.019895572353191255e+02
4.832587253886738836e+03,8.585026102541083901e+02,2.489184109890959506e-01,4.887475985092298288e+03,8.627150854613274760e+02
5.309243690878091911e+03,8.556483706928308948e+02,2.469003629587701587e-01,1.308530757524038563e+03,8.922221929079123584e+02
5.687515094542363840e+03,8.524277895688464923e+02,2.457376953909840012e-01,2.110318388392831821e+03,8.766416988815389004e+02
4.215702837067943619e+03,8.605660971940210402e+02,2.524968449582143948e-01,3.706399782395605598e+03,8.990269552320837647e+02
4.053776859318020342e+03,8.627299596879142882e+02,2.565934345774234515e-01,3.927172641804405885e+03,8.477339578367165132e+02
7.016324129725684543e+03,8.472053048222347797e+02,2.505825242477962012e-01,6.811788648958751764e+03,8.770652390067052693e+02
8.606098597996326134e+03,8.400000000000000000e+02,2.599539462883385110e-01,1.179275241133527197e+04,8.438847033931900796e+02
5.319221253317071387e+03,8.544140596339080957e+02,2.457420570535563398e-01,1.159331846961742849e+04,9.051687933005800915e+02
8.664489583624945226e+03,8.400000000000000000e+02,2.600378336156080050e-01,7.286151151139486501e+03,8.698985627119403716e+02
6.758532384104868470e+03,8.479731254568642953e+02,2.496020653483814189e-01,6.538977150743569837e+03,8.760472705684857146e+02
8.208198139488225934e+03,8.400000000000000000e+02,2.610442495185425482e-01,1.156562837063928419e+04,8.845935444041535902e+02
5.766282857311860425e+03,8.516526741662617042e+02,2.466382723651209530e-01,5.437491391479501544e+03,8.796133875732593879e+02
5.594666330349452437e+03,8.537114533348105851e+02,2.459458982380498260e-01,3.191351313528629362e+03,8.468343991791347207e+02
5.325525242977118069e+03,8.547082223536907577e+02,2.457030013937861468e-01,2.736703850224369944e+03,8.490660070359409701e+02
8.469633879350039933e+03,8.400000000000000000e+02,2.598786019734063979e-01,1.097293517677340787e+04,8.500376873827786994e+02
4.338255488429357683e+03,8.597985212503054981e+02,2.519704741102772316e-01,4.338274907079532568e+03,8.597984241994440708e+02
8.524606332550094521e+03,8.400000000000000000e+02,2.598395338570773094e-01,9.578062507440467016e+03,8.824051935589014874e+02
8.565040710150798986e+03,8.400000000000000000e+02,2.598421723893609703e-01,8.565040710150798986e+03,8.765162889572067115e+02
8.655715354847259732e+03,8.400000000000000000e+02,2.600638705237448001e-01,8.877656774202318047e+03,8.610824076424116811e+02
5.407678500197002904e+03,8.541659602876826511e+02,2.461561772079571275e-01,2.537379497282519424e+03,8.609128662083272729e+02
4.719308733199401104e+03,8.576994764958971018e+02,2.482428925014202037e-01,4.564438725341250574e+03,8.478979588874577757e+02
