substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
126,900,0,767.9849973,781,3,0.00931,0.219616667,1
126,900,0,784.2742016,817,1,0.00895,0.499666667,1
126,900,0,784.2742016,817,2,0.00895,0.021628667,1
126,900,0,784.2742016,817,3,0.00895,0.142193333,1
126,900,0,816.9729754,443,1,0.01577,0.484633333,1
126,900,0,816.9729754,443,2,0.01577,0.147676667,1
126,900,0,816.9729754,443,3,0.01577,0.3754,1
126,900,0,833.2883928,514,1,0.013093571,0.702233333,1
126,900,0,833.2883928,514,2,0.013093571,0.100066667,1
126,900,0,833.2883928,514,3,0.013093571,0.06693,1
126,900,0,849.5750106,689,1,0.01021,1.5591,1
126,900,0,849.5750106,689,2,0.01021,0.194173333,1
126,900,0,849.5750106,689,3,0.01021,0.134616667,1
126,900,0,865.9513074,781,1,0.009304375,1.1058,1
126,900,0,865.9513074,781,2,0.009304375,0.050653333,1
126,900,0,865.9513074,781,3,0.009304375,0.22331,1
126,900,0,882.2497295,817,1,0.00895,0.451066667,1
126,900,0,882.2497295,817,2,0.00895,0.022231,1
126,900,0,882.2497295,817,3,0.00895,0.13424,1
126,900,0,1000.0,443,1,0.01043037,0.381333333,1
126,900,0,1000.0,443,2,0.01043037,0.178123333,1
126,900,0,1000.0,443,3,0.01043037,0.375,1
126,900,0,1000.0,514,1,0.008787407,0.6161,1
126,900,0,1000.0,514,2,0.008787407,0.136776667,1
126,900,0,1000.0,514,3,0.008787407,0.070913333,1
126,900,0,1000.0,689,1,0.00691,1.4837,1
126,900,0,1000.0,689,2,0.00691,0.224806667,1
126,900,0,1000.0,689,3,0.00691,0.140603333,1
126,900,0,1000.0,781,1,0.006313181,1.135433333,1
126,900,0,1000.0,781,2,0.006313181,0.061376667,1
126,900,0,1000.0,781,3,0.006313181,0.23059,1
126,900,0,1000.0,817,1,0.006079643,0.452366667,1
126,900,0,1000.0,817,2,0.006079643,0.02275,1
126,900,0,1000.0,817,3,0.006079643,0.141356667,1
126,830,0,32.7109671,443,1,0.008438889,0.365266667,2
126,830,0,32.7109671,443,2,0.008438889,0.18345,2
126,830,0,32.7109671,443,3,0.008438889,0.375,2
126,830,0,49.0289129,514,1,0.00692,0.603333333,2
126,830,0,49.0289129,514,2,0.00692,0.13735,2
126,830,0,49.0289129,514,3,0.00692,0.069706667,2
126,830,0,65.337605,689,1,0.005361071,1.563733333,2
126,830,0,65.337605,689,2,0.005361071,0.232506667,2
126,830,0,65.337605,689,3,0.005361071,0.148706667,2
126,830,0,81.6480479,781,1,0.004864896,1.2636,2
126,830,0,81.6480479,781,2,0.004864896,0.069326667,2
126,830,0,81.6480479,781,3,0.004864896,0.25499,2
126,830,0,97.9419941,817,1,0.004670741,0.435833333,2
126,830,0,97.9419941,817,2,0.004670741,0.020535333,2
126,830,0,97.9419941,817,3,0.004670741,0.136436667,2
126,830,0,130.7221672,443,1,0.00826,0.361566667,2
126,830,0,130.7221672,443,2,0.00826,0.186796667,2
126,830,0,130.7221672,443,3,0.00826,0.375133333,2
126,830,0,147.0350276,514,1,0.006878929,0.581466667,2
126,830,0,147.0350276,514,2,0.006878929,0.136136667,2
126,830,0,147.0350276,514,3,0.006878929,0.067146667,2
126,830,0,163.4478353,689,1,0.00538,1.459166667,2
126,830,0,163.4478353,689,2,0.00538,0.218513333,2
126,830,0,163.4478353,689,3,0.00538,0.13395,2
126,830,0,179.7079014,781,1,0.004919487,1.129133333,2
126,830,0,179.7079014,781,2,0.004919487,0.061366667,2
126,830,0,179.7079014,781,3,0.004919487,0.232483333,2
126,830,0,196.0246084,817,1,0.004739286,0.4288,2
126,830,0,196.0246084,817,2,0.004739286,0.020539,2
126,830,0,196.0246084,817,3,0.004739286,0.13401,2
126,830,0,228.7852995,443,1,0.00866,0.3578,2
126,830,0,228.7852995,443,2,0.00866,0.1905,2
126,830,0,228.7852995,443,3,0.00866,0.376,2
126,830,0,245.1045513,514,1,0.0072,0.573633333,2
126,830,0,245.1045513,514,2,0.0072,0.138773333,2
126,830,0,245.1045513,514,3,0.0072,0.06712,2
126,830,0,261.4326929,689,1,0.00562,1.516933333,2
126,830,0,261.4326929,689,2,0.00562,0.25346,2
126,830,0,261.4326929,689,3,0.00562,0.15145,2
126,830,0,277.7380967,781,1,0.00511794,1.0809,2
126,830,0,277.7380967,781,2,0.00511794,0.058716667,2
126,830,0,277.7380967,781,3,0.00511794,0.221946667,2
126,830,0,294.0543673,817,1,0.004921481,0.4156,2
126,830,0,294.0543673,817,2,0.004921481,0.020315667,2
126,830,0,294.0543673,817,3,0.004921481,0.134776667,2
126,830,0,326.8138532,443,1,0.00868,0.3515,2
126,830,0,326.8138532,443,2,0.00868,0.193193333,2
126,830,0,326.8138532,443,3,0.00868,0.376,2
126,830,0,343.140773,514,1,0.007204444,0.5715,2
126,830,0,343.140773,514,2,0.007204444,0.14283,2
126,830,0,343.140773,514,3,0.007204444,0.06797,2
126,830,0,359.4902009,689,1,0.00563,1.435333333,2
126,830,0,359.4902009,689,2,0.00563,0.23584,2
126,830,0,359.4902009,689,3,0.00563,0.135713333,2
126,830,0,375.8049664,781,1,0.005126875,1.080566667,2
126,830,0,375.8049664,781,2,0.005126875,0.058916667,2
126,830,0,375.8049664,781,3,0.005126875,0.222446667,2
126,830,0,392.1452802,817,1,0.00493,0.405166667,2
126,830,0,392.1452802,817,2,0.00493,0.020325667,2
126,830,0,392.1452802,817,3,0.00493,0.132133333,2
126,830,0,424.9222047,443,1,0.00868,0.346066667,2
126,830,0,424.9222047,443,2,0.00868,0.19554,2
126,830,0,424.9222047,443,3,0.00868,0.376,2
126,830,0,441.2466456,514,1,0.007213929,0.560733333,2
126,830,0,441.2466456,514,2,0.007213929,0.144123333,2
126,830,0,441.2466456,514,3,0.007213929,0.06715,2
126,830,0,457.5382039,689,1,0.00563,1.4163,2
126,830,0,457.5382039,689,2,0.00563,0.235786667,2
126,830,0,457.5382039,689,3,0.00563,0.13422,2
126,830,0,473.8560761,781,1,0.005131239,1.0375,2
126,830,0,473.8560761,781,2,0.005131239,0.058336667,2
126,830,0,473.8560761,781,3,0.005131239,0.21406,2
126,830,0,490.1485858,817,1,0.004936071,0.3987,2
126,830,0,490.1485858,817,2,0.004936071,0.020362667,2
126,830,0,490.1485858,817,3,0.004936071,0.131133333,2
126,830,0,522.8807676,443,1,0.0087,0.340733333,2
126,830,0,522.8807676,443,2,0.0087,0.198526667,2
126,830,0,522.8807676,443,3,0.0087,0.375166667,2
126,830,0,539.1866828,514,1,0.00722,0.571333333,2
126,830,0,539.1866828,514,2,0.00722,0.149316667,2
126,830,0,539.1866828,514,3,0.00722,0.069723333,2
126,830,0,555.5363516,689,1,0.00564,1.489966667,2
126,830,0,555.5363516,689,2,0.00564,0.25669,2
126,830,0,555.5363516,689,3,0.00564,0.149933333,2
126,830,0,571.8322204,781,1,0.005136875,1.048366667,2
126,830,0,571.8322204,781,2,0.005136875,0.06148,2
126,830,0,571.8322204,781,3,0.005136875,0.218566667,2
126,830,0,588.1570943,817,1,0.00494,0.4088,2
126,830,0,588.1570943,817,2,0.00494,0.021333333,2
126,830,0,588.1570943,817,3,0.00494,0.134396667,2
126,830,0,620.8979387,443,1,0.00869,0.334433333,2
126,830,0,620.8979387,443,2,0.00869,0.200753333,2
126,830,0,620.8979387,443,3,0.00869,0.376,2
126,830,0,637.2271569,514,1,0.00722,0.562733333,2
126,830,0,637.2271569,514,2,0.00722,0.152026667,2
126,830,0,637.2271569,514,3,0.00722,0.06949,2
126,830,0,653.5351568,689,1,0.00564,1.472166667,2
126,830,0,653.5351568,689,2,0.00564,0.255156667,2
126,830,0,653.5351568,689,3,0.00564,0.145193333,2
126,830,0,669.8236756,781,1,0.005129688,1.0932,2
126,830,0,669.8236756,781,2,0.005129688,0.065716667,2
126,830,0,669.8236756,781,3,0.005129688,0.228276667,2
126,830,0,686.1392257,817,1,0.00493,0.436133333,2
126,830,0,686.1392257,817,2,0.00493,0.022612333,2
126,830,0,686.1392257,817,3,0.00493,0.140766667,2
126,830,0,718.8797299,443,1,0.00869,0.329933333,2
126,830,0,718.8797299,443,2,0.00869,0.203686667,2
126,830,0,718.8797299,443,3,0.00869,0.3763,2
126,830,0,735.1938592,514,1,0.00722,0.578633333,2
126,830,0,735.1938592,514,2,0.00722,0.161563333,2
126,830,0,735.1938592,514,3,0.00722,0.073073333,2
126,830,0,751.5389456,689,1,0.00563,1.472,2
126,830,0,751.5389456,689,2,0.00563,0.259413333,2
126,830,0,751.5389456,689,3,0.00563,0.145116667,2
126,830,0,767.8707561,781,1,0.005126875,1.0883,2
126,830,0,767.8707561,781,2,0.005126875,0.064356667,2
126,830,0,767.8707561,781,3,0.005126875,0.227516667,2
126,830,0,784.1647484,817,1,0.00493,0.391733333,2
126,830,0,784.1647484,817,2,0.00493,0.021352,2
126,830,0,784.1647484,817,3,0.00493,0.126826667,2
126,830,0,816.8853766,443,1,0.0087,0.324566667,2
126,830,0,816.8853766,443,2,0.0087,0.206266667,2
126,830,0,816.8853766,443,3,0.0087,0.377,2
126,830,0,833.1927436,514,1,0.00722,0.564433333,2
126,830,0,833.1927436,514,2,0.00722,0.162543333,2
126,830,0,833.1927436,514,3,0.00722,0.071896667,2
126,830,0,849.4913089,689,1,0.00564,1.471533333,2
126,830,0,849.4913089,689,2,0.00564,0.274116667,2
126,830,0,849.4913089,689,3,0.00564,0.15358,2
126,830,0,865.8099297,781,1,0.005129688,1.0296,2
126,830,0,865.8099297,781,2,0.005129688,0.06416,2
126,830,0,865.8099297,781,3,0.005129688,0.215003333,2
126,830,0,882.1463889,817,1,0.00493,0.408133333,2
126,830,0,882.1463889,817,2,0.00493,0.022288,2
126,830,0,882.1463889,817,3,0.00493,0.13246,2
126,830,0,914.8391667,443,1,0.008697407,0.319866667,2
126,830,0,914.8391667,443,2,0.008697407,0.20916,2
126,830,0,914.8391667,443,3,0.008697407,0.377,2
126,830,0,931.1405901,514,1,0.00722,0.549766667,2
126,830,0,931.1405901,514,2,0.00722,0.16317,2
126,830,0,931.1405901,514,3,0.00722,0.07076,2
126,830,0,947.4573762,689,1,0.005639286,1.445433333,2
126,830,0,947.4573762,689,2,0.005639286,0.279826667,2
126,830,0,947.4573762,689,3,0.005639286,0.152416667,2
126,830,0,963.7510005,781,1,0.005129743,1.0607,2
126,830,0,963.7510005,781,2,0.005129743,0.067613333,2
126,830,0,963.7510005,781,3,0.005129743,0.221943333,2
126,830,0,980.0581958,817,1,0.004930357,0.4281,2
126,830,0,980.0581958,817,2,0.004930357,0.023381,2
126,830,0,980.0581958,817,3,0.004930357,0.137056667,2
126,830,0,1012.853172,443,1,0.008690357,0.3139,2
126,830,0,1012.853172,443,2,0.008690357,0.211006667,2
126,830,0,1012.853172,443,3,0.008690357,0.376,2
126,830,0,1029.180298,514,1,0.00722,0.540533333,2
126,830,0,1029.180298,514,2,0.00722,0.163996667,2
126,830,0,1029.180298,514,3,0.00722,0.07015,2
126,830,0,1045.512624,689,1,0.005637143,1.427933333,2
126,830,0,1045.512624,689,2,0.005637143,0.278883333,2
126,830,0,1045.512624,689,3,0.005637143,0.148676667,2
126,830,0,1061.799439,781,1,0.005136071,1.0666,2
126,830,0,1061.799439,781,2,0.005136071,0.068643333,2
126,830,0,1061.799439,781,3,0.005136071,0.224503333,2
126,830,0,1078.100835,817,1,0.00494,0.421433333,2
126,830,0,1078.100835,817,2,0.00494,0.023622,2
126,830,0,1078.100835,817,3,0.00494,0.135926667,2
126,830,0,1110.886352,443,1,0.0087,0.308733333,2
126,830,0,1110.886352,443,2,0.0087,0.21325,2
126,830,0,1110.886352,443,3,0.0087,0.376,2
126,830,0,1127.202784,514,1,0.007229286,0.541433333,2
126,830,0,1127.202784,514,2,0.007229286,0.16958,2
126,830,0,1127.202784,514,3,0.007229286,0.071553333,2
126,830,0,1143.514147,689,1,0.00564,1.360466667,2
126,830,0,1143.514147,689,2,0.00564,0.263683333,2
126,830,0,1143.514147,689,3,0.00564,0.13724,2
126,830,0,1159.820525,781,1,0.005136875,1.204833333,2
126,830,0,1159.820525,781,2,0.005136875,0.080836667,2
126,830,0,1159.820525,781,3,0.005136875,0.247513333,2
126,830,0,1176.179607,817,1,0.00494,0.403,2
126,830,0,1176.179607,817,2,0.00494,0.023435333,2
126,830,0,1176.179607,817,3,0.00494,0.128293333,2
126,830,0,1208.949286,443,1,0.0087,0.303033333,2
126,830,0,1208.949286,443,2,0.0087,0.216053333,2
126,830,0,1208.949286,443,3,0.0087,0.377,2
126,830,0,1225.295154,514,1,0.00722,0.528566667,2
126,830,0,1225.295154,514,2,0.00722,0.166813333,2
126,830,0,1225.295154,514,3,0.00722,0.07004,2
126,830,0,1241.592572,689,1,0.00563,1.429233333,2
126,830,0,1241.592572,689,2,0.00563,0.285433333,2
126,830,0,1241.592572,689,3,0.00563,0.148073333,2
126,830,0,1257.875284,781,1,0.005126875,1.2177,2
126,830,0,1257.875284,781,2,0.005126875,0.082783333,2
126,830,0,1257.875284,781,3,0.005126875,0.25137,2
126,830,0,1274.204477,817,1,0.00493,0.421366667,2
126,830,0,1274.204477,817,2,0.00493,0.024801,2
126,830,0,1274.204477,817,3,0.00493,0.135766667,2
126,830,0,1306.935626,443,1,0.00869,0.2985,2
126,830,0,1306.935626,443,2,0.00869,0.21837,2
126,830,0,1306.935626,443,3,0.00869,0.377,2
126,830,0,1323.262479,514,1,0.00722,0.509366667,2
126,830,0,1323.262479,514,2,0.00722,0.16382,2
126,830,0,1323.262479,514,3,0.00722,0.06731,2
126,830,0,1339.622687,689,1,0.00563,1.4105,2
126,830,0,1339.622687,689,2,0.00563,0.289933333,2
126,830,0,1339.622687,689,3,0.00563,0.149186667,2
126,830,0,1355.968072,781,1,0.005126875,1.232833333,2
126,830,0,1355.968072,781,2,0.005126875,0.088116667,2
126,830,0,1355.968072,781,3,0.005126875,0.25116,2
126,830,0,1372.301838,817,1,0.00493,0.4311,2
126,830,0,1372.301838,817,2,0.00493,0.025592,2
126,830,0,1372.301838,817,3,0.00493,0.13559,2
126,830,0,1405.077553,443,1,0.0087,0.29401,2
126,830,0,1405.077553,443,2,0.0087,0.22133,2
126,830,0,1405.077553,443,3,0.0087,0.377,2
126,830,0,1421.4288,514,1,0.00722,0.521566667,2
126,830,0,1421.4288,514,2,0.00722,0.17414,2
126,830,0,1421.4288,514,3,0.00722,0.07065,2
126,830,0,1437.699117,689,1,0.00564,1.390074074,2
