substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
102,845,0,81.4859454,781,1,0.00367625,1.067966667,2
102,845,0,81.4859454,781,2,0.00367625,0.060066667,2
102,845,0,81.4859454,781,3,0.00367625,0.213716667,2
102,845,0,97.7565434,817,1,0.00353,0.924066667,2
102,845,0,97.7565434,817,2,0.00353,0.04418,2
102,845,0,97.7565434,817,3,0.00353,0.242356667,2
102,845,0,130.5764913,443,1,0.00623,1.1171,2
102,845,0,130.5764913,443,2,0.00623,0.941333333,2
102,845,0,130.5764913,443,3,0.00623,0.385,2
102,845,0,146.957614,514,1,0.00519,1.389533333,2
102,845,0,146.957614,514,2,0.00519,0.3674,2
102,845,0,146.957614,514,3,0.00519,0.069746667,2
102,845,0,163.3257359,689,1,0.00406,1.731066667,2
102,845,0,163.3257359,689,2,0.00406,0.296266667,2
102,845,0,163.3257359,689,3,0.00406,0.152066667,2
102,845,0,179.6269814,781,1,0.003700625,1.1695,2
102,845,0,179.6269814,781,2,0.003700625,0.065946667,2
102,845,0,179.6269814,781,3,0.003700625,0.22161,2
102,845,0,195.9583594,817,1,0.00356,0.961266667,2
102,845,0,195.9583594,817,2,0.00356,0.045843333,2
102,845,0,195.9583594,817,3,0.00356,0.228903333,2
102,845,0,228.6809238,443,1,0.00629,1.0866,2
102,845,0,228.6809238,443,2,0.00629,0.962833333,2
102,845,0,228.6809238,443,3,0.00629,0.385,2
102,845,0,244.9893475,514,1,0.00522,1.387866667,2
102,845,0,244.9893475,514,2,0.00522,0.378666667,2
102,845,0,244.9893475,514,3,0.00522,0.07076,2
102,845,0,261.3327207,689,1,0.00408,1.7001,2
102,845,0,261.3327207,689,2,0.00408,0.3001,2
102,845,0,261.3327207,689,3,0.00408,0.15009,2
102,845,0,277.5977941,781,1,0.003714207,1.2133,2
102,845,0,277.5977941,781,2,0.003714207,0.067973333,2
102,845,0,277.5977941,781,3,0.003714207,0.22007,2
102,845,0,293.9201161,817,1,0.003571071,0.969866667,2
102,845,0,293.9201161,817,2,0.003571071,0.049226667,2
102,845,0,293.9201161,817,3,0.003571071,0.23251,2
102,845,0,326.7711681,443,1,0.0063,1.0609,2
102,845,0,326.7711681,443,2,0.0063,0.989333333,2
102,845,0,326.7711681,443,3,0.0063,0.385966667,2
102,845,0,343.0718037,514,1,0.00524,1.3598,2
102,845,0,343.0718037,514,2,0.00524,0.396866667,2
102,845,0,343.0718037,514,3,0.00524,0.07064,2
102,845,0,359.3488624,689,1,0.00409,1.674033333,2
102,845,0,359.3488624,689,2,0.00409,0.310033333,2
102,845,0,359.3488624,689,3,0.00409,0.15085,2
102,845,0,375.6802617,781,1,0.003723438,1.199,2
102,845,0,375.6802617,781,2,0.003723438,0.068233333,2
102,845,0,375.6802617,781,3,0.003723438,0.214856667,2
102,845,0,391.9796368,817,1,0.00358,0.963666667,2
102,845,0,391.9796368,817,2,0.00358,0.050373333,2
102,845,0,391.9796368,817,3,0.00358,0.22725,2
102,845,0,424.7567545,443,1,0.00632,1.032433333,2
102,845,0,424.7567545,443,2,0.00632,1.011666667,2
102,845,0,424.7567545,443,3,0.00632,0.384533333,2
102,845,0,441.0358282,514,1,0.00525,1.3231,2
102,845,0,441.0358282,514,2,0.00525,0.4034,2
102,845,0,441.0358282,514,3,0.00525,0.070543333,2
102,845,0,457.3557564,689,1,0.0041,1.647233333,2
102,845,0,457.3557564,689,2,0.0041,0.316066667,2
102,845,0,457.3557564,689,3,0.0041,0.149426667,2
102,845,0,473.6845585,781,1,0.003733438,1.1829,2
102,845,0,473.6845585,781,2,0.003733438,0.07236,2
102,845,0,473.6845585,781,3,0.003733438,0.216496667,2
102,845,0,490.0299497,817,1,0.00359,0.968,2
102,845,0,490.0299497,817,2,0.00359,0.048903333,2
102,845,0,490.0299497,817,3,0.00359,0.229343333,2
102,845,0,522.8101281,443,1,0.00633,1.0025,2
102,845,0,522.8101281,443,2,0.00633,1.031466667,2
102,845,0,522.8101281,443,3,0.00633,0.384,2
102,845,0,539.1192181,514,1,0.00526,1.272466667,2
102,845,0,539.1192181,514,2,0.00526,0.3911,2
102,845,0,539.1192181,514,3,0.00526,0.06975,2
102,845,0,555.4762807,689,1,0.00411,1.6164,2
102,845,0,555.4762807,689,2,0.00411,0.3186,2
102,845,0,555.4762807,689,3,0.00411,0.146893333,2
102,845,0,571.8044517,781,1,0.003743438,1.185433333,2
102,845,0,571.8044517,781,2,0.003743438,0.076603333,2
102,845,0,571.8044517,781,3,0.003743438,0.217803333,2
102,845,0,588.142824,817,1,0.0036,1.088233333,2
102,845,0,588.142824,817,2,0.0036,0.05961,2
102,845,0,588.142824,817,3,0.0036,0.264773333,2
102,845,0,620.9226386,443,1,0.00635,0.976033333,2
102,845,0,620.9226386,443,2,0.00635,1.0554,2
102,845,0,620.9226386,443,3,0.00635,0.384,2
102,845,0,637.2537621,514,1,0.00527,1.251666667,2
102,845,0,637.2537621,514,2,0.00527,0.411133333,2
102,845,0,637.2537621,514,3,0.00527,0.069843333,2
102,845,0,653.5674759,689,1,0.00412,1.581366667,2
102,845,0,653.5674759,689,2,0.00412,0.327133333,2
102,845,0,653.5674759,689,3,0.00412,0.147313333,2
102,845,0,669.9145197,781,1,0.003753438,1.1661,2
102,845,0,669.9145197,781,2,0.003753438,0.08009,2
102,845,0,669.9145197,781,3,0.003753438,0.218703333,2
102,845,0,686.208521,817,1,0.00361,1.0586,2
102,845,0,686.208521,817,2,0.00361,0.061526667,2
102,845,0,686.208521,817,3,0.00361,0.251403333,2
102,845,0,719.0204815,443,1,0.00636,0.9471,2
102,845,0,719.0204815,443,2,0.00636,1.0762,2
102,845,0,719.0204815,443,3,0.00636,0.385,2
102,845,0,735.3127488,514,1,0.00528,1.255333333,2
102,845,0,735.3127488,514,2,0.00528,0.409133333,2
102,845,0,735.3127488,514,3,0.00528,0.0704,2
102,845,0,751.6306531,689,1,0.00412,1.578766667,2
102,845,0,751.6306531,689,2,0.00412,0.344,2
102,845,0,751.6306531,689,3,0.00412,0.149193333,2
102,845,0,767.9399968,781,1,0.003753438,1.140466667,2
102,845,0,767.9399968,781,2,0.003753438,0.081393333,2
102,845,0,767.9399968,781,3,0.003753438,0.214216667,2
102,845,0,784.3302294,817,1,0.00361,1.0611,2
102,845,0,784.3302294,817,2,0.00361,0.064476667,2
102,845,0,784.3302294,817,3,0.00361,0.25666,2
102,845,0,817.0876688,443,1,0.00637,0.920766667,2
102,845,0,817.0876688,443,2,0.00637,1.0975,2
102,845,0,817.0876688,443,3,0.00637,0.384033333,2
102,845,0,833.3992059,514,1,0.00529,1.202266667,2
102,845,0,833.3992059,514,2,0.00529,0.4075,2
102,845,0,833.3992059,514,3,0.00529,0.06937,2
102,845,0,849.7208661,689,1,0.00413,1.548,2
102,845,0,849.7208661,689,2,0.00413,0.346166667,2
102,845,0,849.7208661,689,3,0.00413,0.147016667,2
102,845,0,866.0136473,781,1,0.003763438,1.1397,2
102,845,0,866.0136473,781,2,0.003763438,0.087903333,2
102,845,0,866.0136473,781,3,0.003763438,0.219323333,2
102,845,0,882.2703681,817,1,0.00362,1.0245,2
102,845,0,882.2703681,817,2,0.00362,0.063703333,2
102,845,0,882.2703681,817,3,0.00362,0.263136667,2
102,845,0,915.0572356,443,1,0.00638,0.897033333,2
102,845,0,915.0572356,443,2,0.00638,1.1223,2
102,845,0,915.0572356,443,3,0.00638,0.384,2
102,845,0,931.4234503,514,1,0.0053,1.183433333,2
102,845,0,931.4234503,514,2,0.0053,0.423433333,2
102,845,0,931.4234503,514,3,0.0053,0.070033333,2
102,845,0,947.7325416,689,1,0.00414,1.657433333,2
102,845,0,947.7325416,689,2,0.00414,0.3752,2
102,845,0,947.7325416,689,3,0.00414,0.15519,2
102,845,0,964.044462,781,1,0.003773438,1.075866667,2
102,845,0,964.044462,781,2,0.003773438,0.08917,2
102,845,0,964.044462,781,3,0.003773438,0.21128,2
102,845,0,980.4096767,817,1,0.00363,0.958833333,2
