X,Y,Z
1.669715387023770290e+03,8.788554449695949415e+02,4.311422840818714963e-01
4.030592541398872527e+03,8.892483904161942974e+02,6.602811083842974327e-01
1.144549818705324105e+04,8.496650636970571213e+02,5.116734961247360047e-01
2.282802962260889217e+03,9.080714917150962719e+02,7.107536222341799270e-01
1.137828291990975595e+04,8.758851509741375594e+02,1.257968105108253631e+00
5.150449833621588368e+03,8.603027774158114198e+02,2.639108290675227231e-01
2.129386630091813004e+03,8.424713168165468460e+02,1.067243725563095769e+00
1.011664956696224181e+04,8.797583045974156448e+02,1.128483757884185312e+00
1.031553679149598247e+04,8.466590981146022159e+02,3.679174748791402827e-01
1.113712717356913890e+04,8.577857848710206099e+02,6.876911159552585584e-01
8.706675770385729265e+03,8.754775195524906621e+02,8.531784889968455632e-01
1.947217004674658256e+03,8.993086535147799623e+02,4.974006553660514363e-01
6.801213574018811414e+03,8.495956092453709516e+02,2.521669343261886409e-01
9.392221135477680946e+03,8.557545540634297367e+02,4.645127361993681703e-01
7.955363654129232600e+03,8.656371780348948732e+02,5.431783866358542712e-01
1.063927688123374173e+04,8.670996960999958674e+02,8.799112454659250293e-01
3.173043460012719606e+03,8.830226298823529305e+02,3.927593265348920393e-01
3.590307445510718026e+03,8.684697478085399780e+02,2.749735934190147280e-01
1.103019404754785319e+04,8.756097871526432073e+02,1.180179108650371678e+00
1.207516316361854706e+03,8.926115572186067766e+02,5.094266744442473849e-01
5.440355519280411499e+03,8.401586464640904524e+02,4.088171765557673254e-01
5.243771993997641403e+03,8.929194312533046514e+02,9.679646371969063967e-01
6.602085880453951177e+03,8.416524100891616627e+02,2.925219495571652617e-01
7.601086548423708336e+03,8.896786454658413277e+02,1.093869447968882191e+00
1.176566876751547534e+04,8.967090578363195164e+02,1.925365352860173296e+00
9.322263393330085819e+03,8.801157836378682759e+02,1.030145355286026243e+00
1.172443288323461820e+04,9.084965079818246068e+02,2.216276413238731369e+00
2.582797378667704379e+03,8.828553511950445909e+02,3.485467080739795831e-01
7.442090545147772900e+03,9.094171262261210131e+02,1.539502514419187396e+00
7.126208866023123846e+03,8.698053721312476227e+02,5.627056768712253021e-01
3.613856277029698958e+03,8.536138222292921682e+02,3.600745132913919511e-01
1.162322254973687086e+04,8.719764179964763571e+02,1.191426122883503691e+00
6.874512159232146587e+03,8.475724450478169274e+02,2.503487164909397600e-01
1.928837576953284497e+03,8.855772946819798790e+02,3.791024162819675025e-01
3.640512542859312362e+03,9.093756574364903145e+02,1.132335850071078509e+00
1.391828230930376094e+03,8.729016877364389302e+02,5.812962705869829660e-01
6.786570246851641059e+03,8.765245419777394318e+02,6.948782259206541800e-01
1.831599541770477344e+03,9.053234000394264740e+02,5.767749028192181715e-01
1.049310785497912366e+04,8.786345390584767756e+02,1.162901489244533959e+00
9.716133145544683430e+03,8.493525834758869451e+02,3.720648587821162034e-01
1.063329400420600723e+04,8.797918847559830056e+02,1.215429955668242412e+00
8.273556039113003862e+03,8.899159224679928002e+02,1.145281897048783915e+00
8.355441440921254980e+03,8.458989260451550081e+02,2.705557482017756921e-01
8.812912233225028103e+03,8.534340395332097842e+02,3.775932592339180105e-01
5.663390745215735478e+03,8.827092315817226336e+02,7.354243009067645831e-01
1.065793964606838563e+04,8.908727990511008556e+02,1.481881314042543529e+00
7.899004944614935084e+03,8.893632297289053668e+02,1.105696227122534125e+00
9.297744310954240063e+03,8.723129207671448739e+02,8.404826880379520082e-01
4.014875864283405463e+03,8.744843445388045211e+02,3.504084193359348065e-01
1.128350238784173962e+04,8.404860444002031272e+02,3.353243683377734596e-01
6.167754906982894681e+03,8.677709307080713188e+02,4.299827131927284052e-01
1.116027533720400424e+04,8.748879400323016853e+02,1.184109082272136071e+00
